,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,City,Latitude,Longitude,Latitude_num,Longitude_num,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,Desigualdad_1km,Desigualdad_10km,Diferencia,P1ST,Desigualdad_5km,Desigualdad_15km,Desigualdad_promedio
69,69,69,69,69,69,71,AR: Buenos Aires-Bahia Blanca,-38.7175,-62.265277777777776,-38.7175,-62.265277777777776,52041,16938,14,100,33,0.412262886762619,0.43315234780311584,,3.3,0.4603816,0.46759635,41.226287841796875
70,70,70,70,70,70,72,AR: Buenos Aires-Berisso,-34.916666666666664,-57.833333333333336,-34.916666666666664,-57.833333333333336,25429,28214,3,1,1,0.40619808435440063,0.4369315207004547,,2.8,0.43356365,0.4817476,40.619808197021484
71,71,71,71,71,71,73,AR: Buenos Aires-Saladillo,-35.75,-59.66666666666666,-35.75,-59.66666666666666,1951,2030,45,1,1,0.4888739287853241,0.4929332435131073,,2.5,0.4768361,0.43452847,43.45284652709961
72,72,72,72,72,72,74,AR: Entre Rios-Colon,-32.00361111111111,-58.36305555555556,-32.00361111111111,-58.36305555555556,1556,479,41,10,5,0.48463040590286255,0.5031399130821228,,2.8,0.4861638,0.46175292,46.17529296875
73,73,73,73,73,73,75,AR: Buenos Aires-Roque Perez,-35.44499999999999,-59.410555555555554,-35.44499999999999,-59.410555555555554,4455,1062,11,3,1,0.558208703994751,0.5216822028160095,,2.4,0.53617585,0.4425355,44.25354766845703
74,74,74,74,74,74,76,AR: Buenos Aires-Tres Lomas,-36.45277777777778,-62.8625,-36.45277777777778,-62.8625,15177,13148,11,6,4,0.4866621196269989,0.4626924991607666,,3.2,0.53091437,0.42903915,42.90391540527344
75,75,75,75,75,75,77,BO: Beni-Trinidad,-14.833333333333334,-64.9,-14.833333333333334,-64.9,23273,15868,24,80,36,0.4770890474319458,0.4605472683906555,,3.05,0.5103338,0.49886495,46.054725646972656
76,76,76,76,76,76,78,BO: Beni-Riberalta,-11.01,-66.0525,-11.01,-66.0525,19729,10685,37,13,3,0.4565114676952362,0.47894710302352905,,2.6,0.42592672,0.5416649,42.59267044067383
77,77,77,77,77,77,80,BO: Chuquisaca-Sucre,-19.03305555555556,-65.2625,-19.03305555555556,-65.2625,32212,14318,17,80,18,0.5071298480033875,0.46539008617401123,,2.6875,0.44046435,0.43891013,43.891014099121094
78,78,78,78,78,78,81,BO: Chuquisaca-Mosoj Llajta,-19.651666666666664,-64.69944444444445,-19.651666666666664,-64.69944444444445,49197,52604,15,1,1,0.4620334804058075,0.42336633801460266,,2.9473684210526314,0.4317671,0.44566157,42.33663558959961
79,79,79,79,79,79,82,BO: Chuquisaca-Padcoyo,-20.4,-65.3,-20.4,-65.3,10557,4935,37,4,2,0.43225523829460144,0.4581761658191681,,2.3,0.44968227,0.43316033,43.22552490234375
80,80,80,80,80,80,83,BO: Cochabamba-Cochabamba,-17.389444444444443,-66.15666666666667,-17.389444444444443,-66.15666666666667,31490,22020,14,243,87,0.43165144324302673,0.47606921195983887,,2.810126582278481,0.49003404,0.46316075,43.16514587402344
81,81,81,81,81,81,84,BO: Cochabamba-Sacaba,-17.397777777777776,-66.03805555555556,-17.397777777777776,-66.03805555555556,23161,11718,15,61,24,0.4574090838432312,0.4357281029224396,,3.3,0.4188083,0.41235596,41.235595703125
82,82,82,82,82,82,85,BO: Cochabamba-Quillacollo,-17.392222222222223,-66.27833333333334,-17.392222222222223,-66.27833333333334,22970,11926,13,118,49,0.42889150977134705,0.39197346568107605,,2.55,0.42322966,0.44491568,39.19734573364258
83,83,83,83,83,83,86,BO: Cochabamba-Ivirgarzama,-17.050833333333333,-64.86583333333333,-17.050833333333333,-64.86583333333333,14873,6937,12,2,2,0.474504292011261,0.45048072934150696,,2.95,0.44021493,0.42822313,42.82231140136719
